claim_id,claim_date,sale_id,repair_status
CL-94922,2024-06-30,AQ-91241,Pending
CL-98527,2024-02-03,KT-21575,In Progress
CL-5057,2024-01-12,TM-57068,In Progress
CL-64091,2024-07-02,PR-75791,Pending
CL-45944,2024-03-19,DA-345330,Completed
CL-559,2024-01-14,ST-4676,In Progress
CL-11844,2024-08-22,NM-84186,In Progress
CL-29874,2024-07-23,PK-10987,Completed
CL-80931,2024-10-01,EJ-793807,Pending
CL-63075,2024-04-27,ZH-0844,In Progress
CL-22802,2024-03-28,JQ-5873,In Progress
CL-2302,2024-07-25,LY-923378,In Progress
CL-43893,2024-09-29,LN-4817,In Progress
CL-51480,2024-11-03,TV-49681,In Progress
CL-59916,2024-10-08,YN-1765,Completed
CL-83371,2024-07-08,OC-939243,In Progress
CL-1764,2024-05-09,EA-41356,Pending
CL-81094,2024-06-19,IW-61221,In Progress
CL-99210,2024-03-21,ER-759299,In Progress
CL-76064,2024-02-08,LW-96059,Rejected
CL-8212,2024-04-30,RB-691542,In Progress
CL-99938,2024-04-12,YT-79238,Completed
CL-6396,2024-04-20,SX-94008,Completed
CL-5784,2024-03-06,WT-583316,In Progress
CL-20251,2024-05-23,TR-88860,Pending
CL-6694,2024-03-04,HA-89578,Pending
CL-9237,2024-11-08,AI-469990,Completed
CL-78479,2024-09-10,TK-6974,Rejected
CL-8647,2024-06-11,FH-182825,In Progress
CL-37918,2024-09-10,GQ-223816,Pending
CL-48414,2024-04-12,WO-56683,In Progress
CL-94391,2024-01-02,JU-6607,Rejected
CL-1589,2024-03-15,SZ-877453,In Progress
CL-70575,2024-09-26,RK-4361,Completed
CL-211,2024-01-18,MK-3847,Rejected
CL-117,2024-06-10,TM-462288,Pending
CL-3598,2024-10-17,PF-4172,Rejected
CL-88626,2024-06-01,XG-337079,In Progress
CL-51590,2024-07-29,ND-98239,Completed
CL-3530,2024-01-13,LQ-436872,Pending
CL-89622,2024-11-01,QD-95810,Completed
CL-8182,2024-07-08,VR-61145,Pending
CL-9872,2024-02-05,PY-985811,In Progress
CL-99363,2024-10-16,JZ-812803,Pending
CL-71012,2024-03-06,UG-266653,Rejected
CL-7477,2024-09-20,TS-2839,Completed
CL-65137,2024-02-25,EF-126944,Completed
CL-1913,2024-08-23,KS-24900,Rejected
CL-7777,2024-10-12,BR-501075,In Progress
CL-8229,2024-07-04,LL-8900,Pending
CL-7343,2024-08-17,DI-417643,Completed
CL-3181,2024-01-11,GD-411942,Pending
CL-43679,2024-11-11,GO-279359,Completed
CL-64634,2024-01-05,GQ-5849,Completed
CL-61657,2024-08-15,GV-5353,In Progress
CL-75122,2024-03-10,LW-4376,Pending
CL-2533,2024-09-22,GJ-590040,Pending
CL-72014,2024-09-24,CR-821315,In Progress
CL-3552,2024-04-27,UL-8245,Pending
CL-25812,2024-09-26,WU-356522,In Progress
CL-7494,2024-01-24,HI-315190,In Progress
CL-9384,2024-10-03,UH-1319,Completed
CL-6997,2024-03-20,FT-853314,Rejected
CL-53261,2024-07-04,VX-0482,In Progress
CL-57581,2024-03-15,HH-85872,Pending
CL-68573,2024-03-19,FU-5437,Completed
CL-64859,2024-02-01,UI-287808,Rejected
CL-34936,2024-09-03,OX-10145,Rejected
CL-99998,2024-01-15,LL-46902,Completed
CL-68714,2024-11-11,CM-44737,Completed
CL-67872,2024-06-07,RL-14385,Rejected
CL-862,2024-01-31,CR-712929,Completed
CL-60548,2024-08-28,VW-61559,Rejected
CL-69792,2024-05-08,RG-31793,In Progress
CL-7626,2024-08-03,HI-6899,Completed
CL-16867,2024-10-13,QV-9481,In Progress
CL-21615,2024-01-18,YR-1003,Pending
CL-79953,2024-05-18,OG-0404,Rejected
CL-20603,2024-04-20,XQ-744803,In Progress
CL-3547,2024-07-13,PE-092149,Pending
CL-46755,2024-05-03,IV-220037,In Progress
CL-12428,2024-01-07,MU-984788,Rejected
CL-89103,2024-08-21,CU-7050,Pending
CL-22119,2024-08-28,MI-86393,Rejected
CL-6749,2024-03-01,QR-0372,Pending
CL-5663,2024-03-02,HV-3088,Pending
CL-98526,2024-07-04,KK-35386,Pending
CL-54458,2024-08-02,DY-4492,Pending
CL-29987,2024-02-08,ND-73590,Completed
CL-30324,2024-07-10,DA-99935,In Progress
CL-47717,2024-09-26,QW-761609,In Progress
CL-1694,2024-02-28,VN-01612,In Progress
CL-79380,2024-03-24,ES-713780,Pending
CL-24653,2024-07-12,LL-732778,Rejected
CL-41768,2024-09-04,AQ-915665,Rejected
CL-44734,2024-07-27,MN-2734,Rejected
CL-95885,2024-10-03,KF-200925,Completed
CL-75231,2024-09-12,EL-286902,Completed
CL-10459,2024-09-11,DB-84694,Pending
CL-5799,2024-05-31,WQ-569654,Completed
CL-12864,2024-08-26,KJ-7682,Completed
CL-7682,2024-07-13,XY-075586,In Progress
CL-4494,2024-03-29,HX-72872,Rejected
CL-61169,2024-10-14,SO-63697,Rejected
CL-6934,2024-07-27,SE-0377,Pending
CL-4189,2024-06-07,RP-177824,Completed
CL-5035,2024-07-21,AY-761631,In Progress
CL-92135,2024-01-18,CK-628274,Rejected
CL-27473,2024-09-16,ZP-40679,Pending
CL-12392,2024-02-05,TU-1890,Rejected
CL-4575,2024-01-04,FO-6796,Completed
CL-68700,2024-03-25,KO-82177,In Progress
CL-5317,2024-07-23,AU-763696,In Progress
CL-44031,2024-11-06,CD-06451,Completed
CL-9621,2024-01-06,RT-266680,Pending
CL-2998,2024-06-30,XJ-86774,Pending
CL-5611,2024-10-31,JF-8470,Rejected
CL-66563,2024-06-04,VD-031685,Rejected
CL-157,2024-09-27,CN-21479,Rejected
CL-7347,2024-03-18,YO-9909,Completed
CL-66481,2024-05-11,AC-270859,Completed
CL-7265,2024-04-03,BB-258888,Pending
CL-25312,2024-07-05,RP-01854,Rejected
CL-49041,2024-08-22,HK-654129,Completed
CL-25131,2024-05-23,RK-392686,In Progress
CL-74377,2024-01-26,VR-0092,Completed
CL-3336,2024-07-15,JY-822071,Rejected
CL-74606,2024-08-26,AY-41957,Pending
CL-11494,2024-01-08,SJ-55086,Completed
CL-77893,2024-09-13,UA-70947,Pending
CL-53233,2024-09-04,ZA-1885,Completed
CL-14119,2024-03-05,OQ-4392,Rejected
CL-64043,2024-10-02,OT-86398,Pending
CL-30401,2024-02-10,GV-28710,Pending
CL-98666,2024-03-24,VK-971025,Pending
CL-49164,2024-08-11,DD-185351,In Progress
CL-12228,2024-09-06,XV-8654,Pending
CL-4266,2024-03-26,GB-98529,In Progress
CL-2513,2024-07-16,EN-56340,Completed
CL-74817,2024-11-04,FX-17875,Pending
CL-8633,2024-11-10,KA-463895,In Progress
CL-84681,2024-03-05,QM-7391,Rejected
CL-93405,2024-03-05,XD-2705,In Progress
CL-73249,2024-05-12,PO-4862,Rejected
CL-87867,2024-03-03,LV-274896,Completed
CL-47776,2024-02-18,ZU-80238,Pending
CL-7775,2024-09-03,MQ-8253,Pending
CL-67966,2024-05-23,GH-2982,Pending
CL-7389,2024-10-25,IO-33127,Pending
CL-40554,2024-02-11,ZT-54860,Completed
CL-4592,2024-07-31,OI-399192,Pending
CL-3820,2024-03-02,DV-4563,Pending
CL-92607,2024-03-31,DE-230740,Pending
CL-1971,2024-06-22,QA-393988,Pending
CL-18422,2024-07-31,EY-5093,In Progress
CL-85211,2024-07-06,QH-229051,Pending
CL-20336,2024-03-05,WJ-04354,In Progress
CL-91675,2024-07-08,IM-182330,Pending
CL-7561,2024-08-29,DT-33472,Completed
CL-8172,2024-09-06,SV-00023,Completed
CL-37477,2024-03-02,FD-390504,Rejected
CL-56340,2024-09-27,KL-67588,Pending
CL-53542,2024-03-22,QX-71476,In Progress
CL-9741,2024-10-17,KX-459738,In Progress
CL-65220,2024-02-08,EH-97338,Completed
CL-90727,2024-09-09,HN-3093,Pending
CL-893,2024-02-29,JC-980357,Pending
CL-20835,2024-11-02,MD-854658,Pending
CL-26112,2024-10-22,BV-0194,Rejected
CL-49067,2024-10-13,EP-204784,In Progress
CL-12870,2024-01-12,RZ-2716,Completed
CL-6929,2024-09-10,AL-552558,Rejected
CL-6490,2024-03-14,KY-63589,Pending
CL-1113,2024-05-01,XV-180586,Rejected
CL-73197,2024-04-07,RJ-491210,Completed
CL-71568,2024-01-31,SM-49840,In Progress
CL-41292,2024-03-18,FC-956889,Rejected
CL-3538,2024-07-05,JI-9789,Completed
CL-84565,2024-09-12,EI-279075,Rejected
CL-83191,2024-03-02,PL-109547,Pending
CL-6966,2024-06-13,AI-8033,Completed
CL-68717,2024-06-05,ZL-641959,Completed
CL-4048,2024-05-01,MB-72477,In Progress
CL-37270,2024-04-09,HV-6452,In Progress
CL-27559,2024-10-20,ZD-317961,In Progress
CL-4568,2024-07-11,IG-531986,Completed
CL-53553,2024-08-07,GL-833373,Completed
CL-31941,2024-10-16,XC-78387,Pending
CL-44495,2024-07-16,PV-54501,In Progress
CL-32563,2024-04-08,FW-0960,In Progress
CL-30640,2024-02-15,KW-962128,Completed
CL-24127,2024-02-26,DT-483413,Pending
CL-49374,2024-08-29,KA-06490,Rejected
CL-98550,2024-05-05,BS-90200,Rejected
CL-6693,2024-06-20,BG-0013,Pending
CL-44025,2024-09-07,MZ-74585,In Progress
CL-4786,2024-07-19,DX-7523,Rejected
CL-89096,2024-10-07,DQ-69677,Completed
CL-7547,2024-08-06,CH-7702,In Progress
CL-70848,2024-01-30,GU-925303,Rejected
CL-7402,2024-08-17,WR-9790,Completed
CL-25838,2024-07-04,XQ-5618,In Progress
CL-43155,2024-03-20,RY-900564,Completed
CL-3955,2024-06-20,DM-36677,Rejected
CL-63189,2024-01-17,OK-10734,Completed
CL-70890,2024-04-30,PI-54775,Completed
CL-15664,2024-08-17,JF-7354,In Progress
CL-75670,2024-01-17,LE-5859,Completed
CL-47706,2024-09-03,BV-1160,Pending
CL-53380,2024-03-04,FC-2351,Rejected
CL-6420,2024-05-25,ZR-76169,Pending
CL-6628,2024-05-01,DS-41876,Pending
CL-1419,2024-08-20,WD-0812,Pending
CL-39292,2024-08-17,PX-766721,Pending
CL-76535,2024-09-14,XK-321469,Rejected
CL-58139,2024-08-05,ST-896336,In Progress
CL-85186,2024-07-21,XE-70161,In Progress
CL-6241,2024-07-19,BN-0035,Rejected
CL-2794,2024-06-30,VI-1644,Completed
CL-1552,2024-02-07,BN-211218,Pending
CL-7604,2024-10-28,KW-674159,Pending
CL-30478,2024-09-11,PD-04196,In Progress
CL-2244,2024-07-12,ZV-223353,In Progress
CL-4013,2024-10-25,JO-9312,Completed
CL-2264,2024-08-12,KO-895420,Pending
CL-70955,2024-10-28,JD-37865,In Progress
CL-3456,2024-10-01,HI-47611,Pending
CL-22639,2024-05-25,IA-209096,Pending
CL-50854,2024-04-08,VN-81524,Completed
CL-83945,2024-06-09,HP-439237,Completed
CL-91255,2024-02-03,AG-055725,Completed
CL-77800,2024-11-05,CR-98861,In Progress
CL-8567,2024-06-22,MH-541010,Completed
CL-84393,2024-01-18,NK-04769,In Progress
CL-7005,2024-07-26,JM-642347,Pending
CL-6149,2024-04-27,QT-217093,In Progress
CL-38516,2024-01-12,BK-4657,Pending
CL-19287,2024-05-13,AP-301270,Pending
CL-6416,2024-05-01,VH-1950,Pending
CL-63376,2024-05-06,QG-644108,In Progress
CL-26923,2024-07-21,OI-6492,Completed
CL-67233,2024-08-28,AG-90798,Rejected
CL-7801,2024-10-11,XF-882594,Completed
CL-1700,2024-03-18,EI-685962,Completed
CL-52581,2024-09-24,KB-71838,Completed
CL-40312,2024-01-11,OQ-922348,Pending
CL-2597,2024-02-13,KJ-868782,Completed
CL-9583,2024-01-29,PM-0288,Pending
CL-7615,2024-02-06,JZ-43175,Completed
CL-1869,2024-08-23,OV-78950,Rejected
CL-21347,2024-03-29,KU-88463,Pending
CL-11495,2024-01-01,RS-81347,In Progress
CL-6610,2024-06-10,QK-7848,In Progress
CL-7562,2024-09-26,LL-439199,Pending
CL-4999,2024-09-27,YK-5317,Rejected
CL-8807,2024-01-13,HN-92882,In Progress
CL-80415,2024-10-26,WN-267798,In Progress
CL-13011,2024-07-01,HD-112387,Pending
CL-42470,2024-01-05,WF-89102,In Progress
CL-8923,2024-05-19,MO-151259,Completed
CL-33355,2024-01-20,XG-5948,In Progress
CL-64167,2024-02-16,VS-977114,Rejected
CL-79679,2024-06-09,HJ-793893,Completed
CL-16328,2024-08-17,DY-30582,In Progress
CL-86060,2024-03-29,HX-745124,Rejected
CL-88115,2024-07-12,GL-638429,Pending
CL-18384,2024-06-04,GN-5333,Completed
CL-6442,2024-02-18,RT-663944,Pending
CL-68445,2024-08-30,AK-198495,Rejected
CL-3657,2024-03-18,SP-744745,Completed
CL-41512,2024-11-11,FN-255167,In Progress
CL-63671,2024-07-20,OT-559780,In Progress
CL-79035,2024-03-09,NJ-7849,Completed
CL-80002,2024-09-09,GJ-00871,Pending
CL-40205,2024-05-20,HT-15493,In Progress
CL-86076,2024-10-04,RO-91939,In Progress
CL-58445,2024-03-02,QV-738292,Pending
CL-11510,2024-11-04,KK-3127,Rejected
CL-45860,2024-07-08,YP-38391,Pending
CL-97996,2024-01-30,JR-53290,Completed
CL-12594,2024-01-18,WP-736450,Rejected
CL-3655,2024-07-06,OR-9988,In Progress
CL-1824,2024-04-23,OM-3827,Rejected
CL-4586,2024-09-01,UR-4079,In Progress
CL-62792,2024-01-03,AR-2782,Completed
